title_key,author_key,year,title,author,amazon_rating,amazon_reviews,price,genre,title_length,title_word_count,has_colon,has_number,review_log,review_level,rating_level
how to catch a unicorn,adam wallace,2020,How to Catch a Unicorn,Adam Wallace,4.8,29902.0,5.0,Fiction,22,5,0,0,10.305714088793774,high,high
how to win friends influence people,dale carnegie,2014,How to Win Friends & Influence People,Dale Carnegie,4.7,25001.0,11.0,Non Fiction,37,7,0,0,10.126711100650509,high,high
how to win friends influence people,dale carnegie,2015,How to Win Friends & Influence People,Dale Carnegie,4.7,25001.0,11.0,Non Fiction,37,7,0,0,10.126711100650509,high,high
how to win friends influence people,dale carnegie,2016,How to Win Friends & Influence People,Dale Carnegie,4.7,25001.0,11.0,Non Fiction,37,7,0,0,10.126711100650509,high,high
how to win friends influence people,dale carnegie,2017,How to Win Friends & Influence People,Dale Carnegie,4.7,25001.0,11.0,Non Fiction,37,7,0,0,10.126711100650509,high,high
how to win friends influence people,dale carnegie,2018,How to Win Friends & Influence People,Dale Carnegie,4.7,25001.0,11.0,Non Fiction,37,7,0,0,10.126711100650509,high,high
how to win friends influence people,dale carnegie,2021,How to Win Friends & Influence People,Dale Carnegie,4.7,61283.0,11.0,Non Fiction,37,7,0,0,11.023274076435644,high,high
how to win friends influence people,dale carnegie,2022,How to Win Friends & Influence People,Dale Carnegie,4.7,61283.0,11.0,Non Fiction,37,7,0,0,11.023274076435644,high,high
howard stern comes again,howard stern,2019,Howard Stern Comes Again,Howard Stern,4.3,5272.0,16.0,Non Fiction,24,4,0,0,8.57035473953047,low,normal
human body activity book for kids handson fun for grades k3,phd katie stokes med,2020,Human Body Activity Book for Kids: Hands-On Fun for Grades K-3,"Ph.D., Katie Stokes, M.Ed.,",4.7,19138.0,5.0,Non Fiction,62,11,1,1,9.859483417038073,middle,high
humans of new york,brandon stanton,2013,Humans of New York,Brandon Stanton,4.8,3490.0,15.0,Non Fiction,18,4,0,0,8.157943507105037,low,high
humans of new york,brandon stanton,2014,Humans of New York,Brandon Stanton,4.8,3490.0,15.0,Non Fiction,18,4,0,0,8.157943507105037,low,high
humans of new york stories,brandon stanton,2015,Humans of New York : Stories,Brandon Stanton,4.9,2812.0,17.0,Non Fiction,28,6,1,0,7.9420068084898565,low,very_high
hyperbole and a half unfortunate situations flawed coping mechanisms mayhem and other things that happened,allie brosh,2013,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896.0,17.0,Non Fiction,110,15,1,0,8.496378051702317,low,high
i alex cross,james patterson,2009,"I, Alex Cross",James Patterson,4.6,1320.0,7.0,Fiction,13,3,0,0,7.186144304522325,low,high
i am confident brave beautiful a coloring book for girls,hopscotch girls,2019,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737.0,7.0,Non Fiction,60,11,1,0,9.183791036742646,middle,high
